trial,common,reward_1_1,reward_1_2,reward_2_1,reward_2_2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow,Subject,Condition
57,0,0.254760059,0.498066713,0.284109698,0.470516812,1,2,0.926228705,1,2,1,2,0.943912878,1,1,0,74,story
58,1,0.281861608,0.520823955,0.290475916,0.444894778,1,2,1.12863222,2,2,2,1,0.825563654,1,0,0,74,story
59,1,0.278908275,0.546413863,0.310765816,0.444979761,1,2,0.868810818,1,1,2,1,0.679037521,2,0,0,74,story
60,0,0.286190895,0.528094972,0.329723796,0.433493741,1,2,0.864942377,1,2,1,2,1.244735174,1,1,0,74,story
61,1,0.311368648,0.521372733,0.342204715,0.445826081,1,2,0.855895523,2,2,1,2,0.83747304,1,0,0,74,story
62,1,0.330351277,0.501482041,0.322151506,0.492075722,1,2,0.644598843,2,2,1,2,0.676085187,1,1,0,74,story
63,1,0.294311337,0.492196416,0.359416863,0.468624877,2,1,1.246978732,2,2,2,1,0.670884474,1,0,0,74,story
64,1,0.325399912,0.490863137,0.386886506,0.500161691,1,2,0.726786867,2,2,2,1,0.948139324,1,1,0,74,story
65,1,0.342317903,0.505462178,0.400850104,0.487586048,1,2,0.658494734,2,2,1,2,0.510804182,1,0,0,74,story
66,0,0.340621287,0.487972129,0.391919171,0.540122021,2,1,0.856871598,2,1,1,2,1.589664991,2,0,0,74,story
67,1,0.31802804,0.481182209,0.379975487,0.555212157,2,1,1.021752711,1,1,2,1,0.71212434,1,1,0,74,story
68,1,0.338518323,0.51248527,0.33793041,0.576604529,1,2,0.968866538,1,1,1,2,0.782013633,1,1,0,74,story
69,0,0.326114191,0.526564368,0.348104242,0.595147953,1,2,0.952972691,1,2,2,1,1.218615287,1,0,0,74,story
70,1,0.354880331,0.496185487,0.376677483,0.584040054,1,2,0.996283741,1,1,2,1,0.690130548,1,0,0,74,story
71,1,0.356812383,0.470021774,0.392102501,0.59889165,2,1,0.857963694,1,1,2,1,0.637753658,1,1,0,74,story
72,1,0.357069135,0.486878135,0.39573452,0.564217775,1,2,1.010104596,1,1,2,1,0.692010978,1,1,0,74,story
73,0,0.411984208,0.489199617,0.40733076,0.544586985,2,1,0.739556008,1,2,1,2,1.161061792,2,0,0,74,story
74,0,0.438182455,0.512848975,0.395031303,0.506272094,2,1,0.860875647,1,2,2,1,1.644183883,2,1,0,74,story
75,1,0.443281755,0.542777515,0.393546287,0.483409469,2,1,1.284974254,2,2,1,2,0.704666207,2,1,0,74,story
76,0,0.459277358,0.547431796,0.394760155,0.497815855,2,1,1.173753786,2,1,2,1,1.232240866,1,0,0,74,story
77,1,0.457929229,0.534104471,0.38665021,0.494869308,1,2,1.09921465,2,2,2,1,1.036020469,2,0,0,74,story
78,1,0.531285949,0.506335058,0.395993387,0.493124057,1,2,1.295565833,2,2,2,1,0.989147451,2,1,0,74,story
79,1,0.502881315,0.516732031,0.403433239,0.50566289,2,1,0.628989772,1,1,1,2,0.723041076,2,0,0,74,story
80,1,0.477893299,0.530519816,0.432269264,0.486509798,1,2,0.945339775,2,2,2,1,0.615826767,2,0,0,74,story
81,1,0.40784468,0.48193701,0.42868778,0.529610683,2,1,1.012803494,2,2,1,2,1.258810972,2,1,0,74,story
82,0,0.38737289,0.471769323,0.425702183,0.540905038,2,1,0.937940104,2,1,1,2,1.236988348,1,1,0,74,story
83,0,0.438444981,0.458679105,0.39697909,0.51978913,1,2,0.681639385,1,2,2,1,0.854728994,2,0,0,74,story
84,0,0.456110677,0.422944349,0.411764602,0.488261474,1,2,1.099496413,1,2,2,1,1.757064192,1,1,0,74,story
85,0,0.460792265,0.430956248,0.453636945,0.483734333,2,1,0.912115842,2,1,2,1,1.119528109,1,0,0,74,story
86,1,0.487093401,0.411567389,0.454011525,0.543553007,1,2,0.915974037,2,2,1,2,1.008111461,1,1,0,74,story
87,1,0.510329805,0.386015979,0.454371215,0.544927758,2,1,1.274331747,2,2,2,1,0.947021312,1,0,0,74,story
88,1,0.460098571,0.399206701,0.456274701,0.522061869,1,2,1.263975222,2,2,2,1,0.902586223,1,1,0,74,story
89,1,0.430224864,0.395320187,0.460833029,0.542735681,1,2,0.921291373,2,2,2,1,0.79019109,1,1,0,74,story
90,0,0.449461354,0.388612557,0.474101197,0.535557249,1,2,0.992452366,2,1,1,2,1.617997096,1,1,0,74,story
91,1,0.456225136,0.390626774,0.487051354,0.561247501,2,1,0.838632639,1,1,2,1,0.66839411,1,1,0,74,story
92,1,0.457337069,0.378765153,0.485273693,0.574279963,2,1,0.87383494,1,1,2,1,0.756025435,1,0,0,74,story
